step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,TL_stopped,TL_accumulated_waiting_time,TL_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
15.0,2,0,0,0,2,0,0.0,0.0,11.798606375348754,0,0.0,0.8411634508187456,0,0.0
30.0,3,0,0,0,3,0,0.0,0.0,13.300065875660382,0,0.0,0.9150998035600342,0,0.0
45.0,6,0,0,0,6,0,0.0,0.0,13.58766749022915,0,0.0,0.9623451812407087,0,0.0
60.0,10,0,0,0,10,0,0.0,0.0,12.941335895815035,0,0.0,0.9423572301715029,0,0.0
75.0,14,0,2,0,14,0,12.0,0.8571428571428571,11.56155545680207,2,12.0,0.842598348158224,2,12.0
90.0,16,0,2,0,16,0,26.0,1.625,10.516595009062332,2,26.0,0.7841558675413365,2,26.0
105.0,27,0,3,0,27,0,70.0,2.5925925925925926,11.885601837099035,3,70.0,0.8392226372727719,3,70.0
120.0,30,0,5,0,30,0,126.0,4.2,10.243667346793384,5,126.0,0.7204482712734959,5,126.0
135.0,38,0,8,0,38,0,238.0,6.2631578947368425,10.308790278136312,8,238.0,0.6976758500614179,8,238.0
150.0,46,0,10,1,47,0,340.0,7.391304347826087,9.667311231090443,10,340.0,0.6792931588714833,10,340.0
165.0,55,0,12,3,58,0,483.0,8.781818181818181,9.854076837951387,12,483.0,0.679049244717641,12,483.0
180.0,68,0,13,4,72,0,616.0,9.058823529411764,9.993684978280244,13,616.0,0.680636910856799,13,616.0
195.0,82,0,20,5,87,0,872.0,10.634146341463415,9.738180853101266,20,872.0,0.6567813526162976,20,872.0
210.0,87,0,19,7,94,0,1056.0,12.137931034482758,9.932333031741043,19,1056.0,0.6837196130234693,19,1056.0
225.0,97,0,28,16,113,0,1398.0,14.412371134020619,9.075495069247612,28,1398.0,0.6089286167035303,28,1398.0
240.0,115,0,42,17,132,0,1893.0,16.46086956521739,7.987773511289664,42,1893.0,0.5267678404823961,42,1893.0
255.0,126,0,55,18,144,0,2646.0,21.0,7.358140929387968,55,2646.0,0.47561341981153343,55,2646.0
270.0,134,0,59,26,160,0,3350.0,25.0,7.096596387837579,59,3350.0,0.48176560069212376,59,3350.0
285.0,151,0,71,30,181,0,4315.0,28.576158940397352,6.657925158236399,71,4317.0,0.43953968473922395,71,4317.0
300.0,165,0,29,33,198,0,456.0,2.7636363636363637,7.3926384616621394,29,2706.0,0.4996406720199085,29,2706.0
315.0,177,0,71,34,211,0,915.0,5.169491525423729,6.59368805291868,71,3249.0,0.3690747473811139,71,3249.0
330.0,184,0,76,41,225,0,1540.0,8.369565217391305,6.988720550268063,76,3904.0,0.4182490866339995,76,3904.0
345.0,208,0,99,44,252,0,2880.0,13.846153846153847,6.7768012270564295,99,5244.0,0.364692573078608,99,5244.0
360.0,214,0,98,59,273,0,4199.0,19.621495327102803,6.574286329073277,98,6541.0,0.3945576551139178,98,6541.0
375.0,227,0,104,65,292,0,5690.0,25.066079295154186,7.140366198358796,104,8026.0,0.3872376770104824,104,8026.0
390.0,234,0,118,77,311,0,7337.0,31.354700854700855,6.247468751711376,118,9673.0,0.3310927582991481,118,9673.0
405.0,251,0,79,83,334,0,3552.0,14.151394422310757,6.6974595545209885,79,8269.0,0.3786030858980605,79,8269.0
420.0,252,0,34,99,351,0,956.0,3.7936507936507935,8.867080312621262,34,4235.0,0.5047072499658259,34,4235.0
435.0,266,1,71,116,382,0,860.0,3.2330827067669174,7.979579890372365,71,4358.0,0.4547102728599273,71,4358.0
450.0,298,1,125,121,419,0,2420.0,8.120805369127517,7.309562304591184,125,5889.0,0.40230733631233156,125,5889.0
465.0,310,0,133,135,445,0,4008.0,12.929032258064517,7.162392363863772,133,7503.0,0.4230519096478956,133,7503.0
480.0,307,2,115,176,483,0,4334.0,14.117263843648209,6.310973160693918,115,8414.0,0.41470173494516416,115,8414.0
495.0,326,0,137,187,513,0,6191.0,18.99079754601227,7.234468463839444,137,9690.0,0.41837545152148997,137,9690.0
510.0,345,2,115,193,538,0,3800.0,11.014492753623188,6.944973137426532,115,8683.0,0.385228326553938,115,8683.0
525.0,369,0,72,196,565,0,1344.0,3.6422764227642275,8.484882485919666,72,5507.0,0.4590757129215815,72,5507.0
540.0,371,0,57,224,595,0,1692.0,4.560646900269542,9.754144496953154,57,3265.0,0.5664152205094972,57,3265.0
555.0,378,0,75,251,629,0,2751.0,7.277777777777778,10.00785726962103,75,3051.0,0.5712747521908038,75,3051.0
570.0,382,1,81,279,661,0,1861.0,4.871727748691099,8.926660703609704,81,3333.0,0.4883703014154428,81,3333.0
585.0,372,0,81,321,693,0,2650.0,7.123655913978495,9.414422856659675,81,3313.0,0.5204555077131957,81,3313.0
600.0,361,1,65,359,720,0,2241.0,6.207756232686981,8.712277043414753,65,3662.0,0.4819772133799545,65,3662.0
